epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.84872,2.86936,4.37926,1.69594,0,0,0,0,1.75159,3.94811,1.4789,1.429e-05,1.429e-05,1.429e-05
2,16.2769,2.7117,4.53449,1.6322,0,0,0,0,1.7167,3.93764,1.44351,4.14553e-05,4.14553e-05,4.14553e-05
3,23.693,2.38377,4.22182,1.35446,0,0,0,0,1.68442,3.8912,1.35141,6.67343e-05,6.67343e-05,6.67343e-05
4,31.237,2.12025,4.03851,1.30561,0.00333,0.1,0.00279,0.00094,1.69797,3.82458,1.32244,9.0127e-05,9.0127e-05,9.0127e-05
5,38.7955,1.98553,3.80195,1.25138,0.00631,0.13333,0.006,0.00146,1.72741,3.76281,1.29815,0.000111633,0.000111633,0.000111633
6,47.4133,1.99726,3.48218,1.23334,0.00781,0.15,0.04368,0.00949,1.67275,3.67504,1.23726,0.000131254,0.000131254,0.000131254
7,55.671,1.88996,3.11731,1.1819,0.00926,0.16667,0.07972,0.03238,1.62993,3.61685,1.21085,0.000148988,0.000148988,0.000148988
8,64.0029,1.88509,2.71509,1.14722,0.01237,0.2,0.09934,0.03225,1.5898,3.56526,1.1991,0.000164835,0.000164835,0.000164835
9,72.0896,1.70506,2.26533,1.17743,0.01056,0.11667,0.11348,0.03681,1.58242,3.5208,1.16897,0.000178796,0.000178796,0.000178796
10,80.6391,1.65167,2.12233,1.14461,0.01212,0.13333,0.13203,0.04234,1.53514,3.44635,1.13826,0.000190872,0.000190872,0.000190872
11,89.3386,1.7039,1.90107,1.14378,0.0118,0.13333,0.13341,0.05098,1.57593,3.40077,1.12508,0.00020106,0.00020106,0.00020106
12,97.5201,1.78561,2.09928,1.15481,0.01164,0.13333,0.12199,0.04898,1.71439,3.38239,1.09686,0.000209363,0.000209363,0.000209363
13,105.705,1.69053,1.80403,1.16733,0.01288,0.15,0.09643,0.03924,1.75547,3.36366,1.12645,0.000215779,0.000215779,0.000215779
14,113.738,1.75563,1.92154,1.14181,0.01468,0.31667,0.09525,0.03571,1.7252,3.31566,1.1283,0.000220309,0.000220309,0.000220309
15,121.669,1.64224,2.03799,1.11509,0.01825,0.33333,0.26853,0.19675,1.72298,3.27552,1.12423,0.000222953,0.000222953,0.000222953
16,129.733,1.6364,1.85651,1.12807,0.02305,0.4,0.29155,0.1957,1.75852,3.21023,1.13551,0.00022371,0.00022371,0.00022371
17,137.925,1.56761,1.54982,1.103,0.02534,0.43333,0.31765,0.20815,1.68391,3.11806,1.19152,0.000222581,0.000222581,0.000222581
18,146.338,1.56066,1.50676,1.06854,0.0234,0.41667,0.31783,0.22021,1.54782,3.04203,1.2116,0.000219566,0.000219566,0.000219566
19,154.347,1.58082,1.70932,1.11345,0.02692,0.51667,0.36023,0.24725,1.48821,2.95482,1.21332,0.000214664,0.000214664,0.000214664
20,162.305,1.48984,1.59583,1.07103,0.03068,0.61667,0.51654,0.37834,1.47065,2.86733,1.21806,0.000207877,0.000207877,0.000207877
21,170.126,1.59114,1.5758,1.22445,0.03019,0.61667,0.52611,0.38607,1.44914,2.78829,1.20421,0.000199203,0.000199203,0.000199203
22,177.949,1.42356,1.57261,1.13869,0.03218,0.63333,0.53918,0.39513,1.47092,2.7309,1.18663,0.000188642,0.000188642,0.000188642
23,185.696,1.41077,1.48602,1.08298,0.03074,0.61667,0.54059,0.39322,1.4763,2.67822,1.17145,0.000176196,0.000176196,0.000176196
24,193.4,1.45321,1.51849,1.12964,0.1894,0.6,0.53796,0.39513,1.48598,2.65965,1.15514,0.000161863,0.000161863,0.000161863
25,201.226,1.39883,1.51778,1.11076,0.76366,0.6,0.53123,0.39404,1.45031,2.65117,1.15297,0.000145644,0.000145644,0.000145644
26,209.07,1.53556,1.47372,1.12077,0.82361,0.45438,0.52638,0.39412,1.41248,2.63481,1.14975,0.000127538,0.000127538,0.000127538
27,216.545,1.39139,1.42368,1.09331,0.93245,0.30374,0.52752,0.40033,1.34212,2.60299,1.1441,0.000107547,0.000107547,0.000107547
28,224.003,1.28505,1.32237,1.09033,0.93245,0.30374,0.52752,0.40033,1.34212,2.60299,1.1441,8.56685e-05,8.56685e-05,8.56685e-05
29,231.793,1.55084,1.48094,1.13264,1,0.25748,0.55613,0.42065,1.28841,2.54948,1.12703,6.19043e-05,6.19043e-05,6.19043e-05
30,239.276,1.35427,1.38995,1.07875,1,0.2353,0.57713,0.44036,1.26483,2.49855,1.11836,3.62537e-05,3.62537e-05,3.62537e-05
